date	close	live_signal	live_raw_model_signal	live_buy_point_ok	buy_point_warnings	live_probability	live_cutoff	live_confidence_gap	live_rule_selected	live_rule_cutoff	rule_name	live_percentile_rank	model_rationale	rule_rationale	ret_20	ret_60	drawdown_20_x	sma_gap_20	volume_vs_20	rsi_14	sma_gap_60	shadow_signal	shadow_raw_model_signal	shadow_buy_point_ok	shadow_probability	shadow_cutoff	shadow_confidence_gap	shadow_rule_selected	shadow_rule_cutoff	shadow_percentile_rank	line_id	label_mode	execution_rule	above_200dma_flag	slope_60	drawdown_20_y	above_200dma	slope_60_positive	bullish_pocket	bullish_pocket_confirmed	bullish_pocket_label	drawdown_20	live_selected	shadow_selected	live_model_ready	shadow_model_ready	live_blocked	shadow_blocked	live_state	shadow_state	comparison_state	comparison_note	confidence_gap_delta	divergence_case	comparison_owner
2026-02-24	418.01	bullish	bullish	True		0.5139	0.455	0.0589	True	0.5077	top_12.5pct_reference	0.9071	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.0743	0.8617	-0.0452	0.0185	-0.1131	49.6		no_entry	no_entry	True	0.5003	0.5006	-0.0004	False	0.5006	0.8356	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.010358267598972433	-0.04520324024472617	True	True	True	True	above_200dma_and_slope_60_positive	-0.0452	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0593	live_selected_shadow_idle	live
2026-02-25	429.0	weak_bullish	bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱	0.5058	0.455	0.0508	False	0.5077	top_12.5pct_reference	0.8647	近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	0.0457	0.8631	-0.0201	0.0429	-0.2662	66.71		no_entry	no_entry	False	0.5001	0.5006	-0.0005	False	0.5006	0.8163	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.010370797292314219	-0.02010047519035148	True	True	True	True	above_200dma_and_slope_60_positive	-0.0201	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0513	live_selected_shadow_idle	live
2026-02-26	415.56	weak_bullish	bullish	False	14 日 RSI 仍偏高，短線有點過熱	0.5011	0.455	0.0461	False	0.5077	top_12.5pct_reference	0.8372	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0453	0.7573	-0.0508	0.0126	-0.0381	60.32		no_entry	no_entry	False	0.4998	0.5006	-0.0009	False	0.5006	0.753	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009396056377240287	-0.05079943091476757	True	True	True	True	above_200dma_and_slope_60_positive	-0.0508	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.047	live_selected_shadow_idle	live
2026-02-27	412.37	weak_bullish	weak_bullish	True		0.4795	0.455	0.0245	False	0.5077	top_12.5pct_reference	0.6439	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0537	0.7149	-0.0581	0.0077	-0.207	55.9		no_entry	no_entry	True	0.499	0.5006	-0.0017	False	0.5006	0.5289	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.008989453488006024	-0.05808586885527014	True	True	True	True	above_200dma_and_slope_60_positive	-0.0581	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0262	live_selected_shadow_idle	live
2026-03-02	412.67	no_entry	weak_bullish	False	14 日 RSI 仍偏高，短線有點過熱	0.484	0.455	0.029	False	0.5077	top_12.5pct_reference	0.7053	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0053	0.7231	-0.0574	0.0088	-0.1436	60.51		no_entry	no_entry	False	0.4991	0.5006	-0.0015	False	0.5006	0.5813	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009068943156069438	-0.0574005826083259	True	True	True	True	above_200dma_and_slope_60_positive	-0.0574	False	False	True	False	True	False	blocked	idle	blocked_idle	Live clears the model only while shadow stays idle.	-0.0305	live_model_ready_shadow_not_ready	shared
2026-03-03	379.68	weak_bullish	weak_bullish	True		0.4786	0.455	0.0236	False	0.5077	top_12.5pct_reference	0.6319	近 20 日已有一段像樣回檔 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.1328	0.6215	-0.115	-0.0652	0.1099	51.99		no_entry	no_entry	True	0.4987	0.5006	-0.0019	False	0.5006	0.4426	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.008055401922899537	-0.11496505203780595	True	True	True	True	above_200dma_and_slope_60_positive	-0.115	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0255	live_selected_shadow_idle	live
2026-03-04	400.77	bullish	bullish	True		0.5023	0.455	0.0473	False	0.5077	top_12.5pct_reference	0.8458	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0445	0.7682	-0.0658	-0.0111	-0.0577	46.71		no_entry	no_entry	True	0.5	0.5006	-0.0007	False	0.5006	0.7879	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009499678646652946	-0.06580422141335228	True	True	True	True	above_200dma_and_slope_60_positive	-0.0658	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.048	live_selected_shadow_idle	live
2026-03-05	397.05	bullish	bullish	True		0.5019	0.455	0.0469	False	0.5077	top_12.5pct_reference	0.8417	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	0.0465	0.6738	-0.0745	-0.0224	-0.0986	44.19		no_entry	no_entry	True	0.4996	0.5006	-0.001	False	0.5006	0.7291	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.008584570014165053	-0.07447555293014277	True	True	True	True	above_200dma_and_slope_60_positive	-0.0745	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0479	live_selected_shadow_idle	live
2026-03-06	370.3	bullish	bullish	True		0.5044	0.455	0.0494	False	0.5077	top_12.5pct_reference	0.8595	近 20 日已有一段像樣回檔 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0329	0.4997	-0.1368	-0.0868	0.0438	37.84		no_entry	no_entry	True	0.4995	0.5006	-0.0011	False	0.5006	0.7071	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.006754151080736707	-0.13682986528445512	True	True	True	True	above_200dma_and_slope_60_positive	-0.1368	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0505	live_selected_shadow_idle	live
2026-03-09	389.32	bullish	bullish	True		0.5173	0.455	0.0623	True	0.5077	top_12.5pct_reference	0.9174	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	-0.0136	0.5424	-0.0925	-0.0393	0.0794	47.05		no_entry	no_entry	True	0.5003	0.5006	-0.0003	False	0.5006	0.8402	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.007221788113244306	-0.09249415542140152	True	True	True	True	above_200dma_and_slope_60_positive	-0.0925	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0626	live_selected_shadow_idle	live
2026-03-10	403.11	strong_bullish	strong_bullish	True		0.5249	0.455	0.0699	True	0.5077	top_12.5pct_reference	0.9352	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.0511	0.5286	-0.0603	-0.0076	0.0205	44.75		weak_bullish	weak_bullish	True	0.5007	0.5006	0.0	True	0.5006	0.8871	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.007072657651640653	-0.060349684495192304	True	True	True	True	above_200dma_and_slope_60_positive	-0.0603	True	True	True	True	False	False	selected	selected	selected_selected	Both live and shadow would take the trade.	-0.0699		shared
2026-03-11	418.69	weak_bullish	bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 近 20 日漲幅已偏大，容易落在追價區	0.517	0.455	0.062	True	0.5077	top_12.5pct_reference	0.9169	近 20 日幾乎沒什麼回檔，位置偏高 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.1217	0.6199	-0.024	0.025	-0.0797	50.37		no_entry	no_entry	False	0.5005	0.5006	-0.0001	False	0.5006	0.8669	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.00803983141810057	-0.024032628341710372	True	True	True	True	above_200dma_and_slope_60_positive	-0.024	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0621	live_selected_shadow_idle	live
2026-03-12	405.35	bullish	bullish	True		0.5055	0.455	0.0505	False	0.5077	top_12.5pct_reference	0.8635	價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數已高於 threshold，但還沒進入歷史前 12.5% 強訊號區	-0.0122	0.681	-0.0551	-0.0071	-0.0078	43.81		no_entry	no_entry	True	0.4998	0.5006	-0.0009	False	0.5006	0.7585	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.008656220522217595	-0.055128190900895976	True	True	True	True	above_200dma_and_slope_60_positive	-0.0551	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0514	live_selected_shadow_idle	live
2026-03-13	426.13	weak_bullish	bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔	0.5092	0.455	0.0542	True	0.5077	top_12.5pct_reference	0.8825	近 20 日幾乎沒什麼回檔，位置偏高 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.0294	0.7942	-0.0067	0.0423	0.2405	51.3		no_entry	no_entry	False	0.5003	0.5006	-0.0003	False	0.5006	0.8384	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.009742947533654463	-0.006689965308129371	True	True	True	True	above_200dma_and_slope_60_positive	-0.0067	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0545	live_selected_shadow_idle	live
2026-03-16	441.8	bullish	strong_bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 價格明顯高於 20 日均線，乖離偏大	0.5226	0.455	0.0676	True	0.5077	top_12.5pct_reference	0.9318	近 20 日幾乎沒什麼回檔，位置偏高 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.0732	0.9001	0.0	0.0766	0.3411	55.65		no_entry	weak_bullish	False	0.501	0.5006	0.0004	True	0.5006	0.932	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.01069873420210216	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	False	True	True	False	True	selected	blocked	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	-0.0672	shadow_blocked_live_selected	live
2026-03-17	461.69	weak_bullish	bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5206	0.455	0.0656	True	0.5077	top_12.5pct_reference	0.9266	近 20 日幾乎沒什麼回檔，位置偏高 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.1549	1.0472	0.0	0.1167	0.3101	57.44		no_entry	weak_bullish	False	0.501	0.5006	0.0003	True	0.5006	0.9238	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.01194141349549307	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	False	True	True	False	True	selected	blocked	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	-0.0653	shadow_blocked_live_selected	live
2026-03-18	461.73	weak_bullish	bullish	False	近 20 日回檔仍偏淺，較像追價不是撿回檔 | 14 日 RSI 仍偏高，短線有點過熱 | 近 20 日漲幅已偏大，容易落在追價區 | 價格明顯高於 20 日均線，乖離偏大	0.5099	0.455	0.0549	True	0.5077	top_12.5pct_reference	0.8876	近 20 日幾乎沒什麼回檔，位置偏高 | 量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.0969	0.8577	0.0	0.1113	0.7259	61.2		no_entry	no_entry	False	0.5006	0.5006	-0.0001	False	0.5006	0.876	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.010322271393914706	0.0	True	True	True	True	above_200dma_and_slope_60_positive	0.0	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.055	live_selected_shadow_idle	live
2026-03-19	444.27	bullish	strong_bullish	False	價格明顯高於 20 日均線，乖離偏大	0.5303	0.455	0.0753	True	0.5077	top_12.5pct_reference	0.949	量能明顯高於 20 日均量，資金參與偏強 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	0.0645	0.6707	-0.0378	0.0658	1.026	57.24		no_entry	weak_bullish	False	0.5007	0.5006	0.0001	True	0.5006	0.8916	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.008553948313768404	-0.037814353750493475	True	True	True	True	above_200dma_and_slope_60_positive	-0.0378	True	False	True	True	False	True	selected	blocked	selected_blocked	Live selects the trade while shadow clears the model only and is blocked by its overlay.	-0.0752	shadow_blocked_live_selected	live
2026-03-20	422.9	bullish	bullish	True		0.5079	0.455	0.0529	True	0.5077	top_12.5pct_reference	0.8767	量能略高於 20 日均量 | 價格遠高於 60 日均線，較像高位延續 | 近 60 日報酬仍為正，趨勢面還沒轉弱	模型分數不只高於 threshold，也進入歷史前 12.5% 強訊號區	-0.0123	0.529	-0.0841	0.0152	0.6667	52.12		no_entry	no_entry	True	0.5	0.5006	-0.0006	False	0.5006	0.798	mu_tb20_ret_60_vol_ratio_20_120_top11_5_shadow	future-return-top-bottom-20pct	top_11_5pct	1.0	0.00707665796664938	-0.08409680152021462	True	True	True	True	above_200dma_and_slope_60_positive	-0.0841	True	False	True	False	False	False	selected	idle	selected_idle	Live selects the trade while shadow stays idle.	-0.0535	live_selected_shadow_idle	live
