model_name	rule_name	date	close	predicted_probability	selected	threshold	cutoff
baseline_10_5	top_10pct	2026-02-11	691.960022	0.304035	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-12	681.27002	0.358669	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-13	681.75	0.341906	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-17	682.849976	0.325146	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-18	686.289978	0.314661	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-19	684.47998	0.308724	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-20	689.429993	0.304844	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-23	682.390015	0.327454	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-24	687.349976	0.296411	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-25	693.150024	0.274411	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-26	689.299988	0.298277	False	0.308	0.385763
baseline_10_5	top_10pct	2026-02-27	685.98999	0.30935	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-02	686.380005	0.31971	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-03	680.330017	0.340956	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-04	685.130005	0.309067	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-05	681.309998	0.336769	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-06	672.380005	0.341603	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-09	678.27002	0.335413	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-10	677.179993	0.332884	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-11	676.330017	0.310879	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-16	669.030029	0.323178	False	0.308	0.385763
baseline_10_5	top_10pct	2026-03-17	670.789978	0.318356	False	0.308	0.385763
rolling_vol_60	top_10pct	2025-08-01	621.719971	0.418548	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-10-27	685.23999	0.334242	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-10-28	687.059998	0.343024	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-10-29	687.390015	0.356108	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-22	684.830017	0.361736	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-23	687.960022	0.355649	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-24	690.380005	0.329326	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-26	690.309998	0.345488	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-29	687.849976	0.365048	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-30	687.01001	0.358819	False	0.381	0.452192
rolling_vol_60	top_10pct	2025-12-31	681.919983	0.386097	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-02	683.169983	0.385391	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-05	687.719971	0.364554	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-06	691.809998	0.346817	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-07	689.580017	0.367558	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-08	689.51001	0.354524	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-09	694.070007	0.350841	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-12	695.159973	0.344686	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-13	693.77002	0.365527	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-14	690.359985	0.382494	False	0.381	0.452192
rolling_vol_60	top_10pct	2026-01-15	692.23999	0.369942	False	0.381	0.452192
