model_name	rule_name	date	close	predicted_probability	selected	threshold	cutoff
rs_vs_benchmark_60	threshold	2026-01-06	256.079987	0.438289	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-07	255.479996	0.431607	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-08	258.269989	0.421488	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-09	260.230011	0.42355	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-12	261.5	0.417637	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-13	261.350006	0.430292	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-14	263.190002	0.41752	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-15	265.51001	0.417051	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-16	265.76001	0.415063	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-20	262.579987	0.440989	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-21	267.790009	0.437567	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-22	269.790009	0.422495	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-23	264.809998	0.449567	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-26	263.980011	0.444169	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-27	264.730011	0.435087	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-28	263.299988	0.44012	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-29	263.369995	0.441633	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-01-30	259.649994	0.445407	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-02	262.179993	0.440867	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-03	262.779999	0.447749	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-04	260.519989	0.443507	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-05	255.830002	0.450999	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-06	265.019989	0.453803	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-09	266.880005	0.447446	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-10	266.160004	0.445599	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-11	264.950012	0.460913	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-12	259.540009	0.473629	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-13	262.959991	0.454105	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-17	263.040009	0.447018	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-18	263.98999	0.447884	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-19	264.600006	0.438228	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-20	264.609985	0.442218	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-23	260.48999	0.439984	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-24	263.329987	0.431324	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-25	264.579987	0.425815	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-26	265.98999	0.430965	False	0.436	0.436
rs_vs_benchmark_60	threshold	2026-02-27	261.410004	0.439614	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-03-02	263.809998	0.442243	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-03-03	259.23999	0.457493	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-03-04	261.76001	0.442153	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-03-05	256.76001	0.459543	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-03-09	253.619995	0.467327	True	0.436	0.436
rs_vs_benchmark_60	threshold	2026-03-10	253.360001	0.460113	True	0.436	0.436
